日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）,,,,,,,,,,,,
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）,,,,,,,,,,,,
2019年5月,"22,184.40","22,190.49","20,581.58","20,601.19","1,616.84","1,617.26","1,508.85","1,512.28",100.0 ,108.78,0.706,0.6,,2019年5月,,,,,,,,,,
2019年4月,"21,500.89","22,362.92","21,471.12","22,258.73","1,612.13","1,633.96","1,600.49","1,617.93",100.0 ,111.68,0.626,1.3,,2019年4月,,,,,,,,,,
2019年3月,"21,490.02","21,860.39","20,911.57","21,205.81","1,612.47","1,629.88","1,570.39","1,591.64",99.7 ,110.75,0.637,1.3,,2019年3月,,,,,,,,,,
2019年2月,"20,797.03","21,610.88","20,315.31","21,385.16","1,565.63","1,624.42","1,536.65","1,607.66",99.7 ,110.76,0.637,0.9,,2019年2月,,,,,,,,,,
2019年1月,"19,655.13","20,892.68","19,241.37","20,773.49","1,468.42","1,574.86","1,446.48","1,567.49",99.7 ,108.73,0.729,0.5,,2019年1月,,,,,,,,,,
2018年12月,"22,629.39","22,698.79","18,948.58","20,014.77","1,687.77","1,696.14","1,408.89","1,494.09",99.7 ,110.4,0.658,1.4,,2018年12月,,,,,,,,,,
2018年11月,"21,906.41","22,583.43","21,243.38","22,351.06","1,647.10","1,687.68","1,598.54","1,667.45",100.0 ,113.47,0.745,2.2,,2018年11月,,,,,,,,,,
2018年10月,"24,173.37","24,448.07","20,971.93","21,920.46","1,814.05","1,838.30","1,581.56","1,646.12",100.2 ,113.2,0.685,3,,2018年10月,,,,,,,,,,
2018年9月,"22,819.17","24,286.10","22,172.90","24,120.04","1,730.77","1,828.23","1,673.92","1,817.25",99.9 ,113.44,0.741,3,,2018年9月,,,,,,,,,,
2018年8月,"22,642.18","23,032.17","21,851.32","22,865.15","1,762.92","1,774.34","1,667.95","1,735.35",99.8 ,110.81,0.732,3.1,,2018年8月,,,,,,,,,,
2018年7月,"22,233.80","22,949.32","21,462.95","22,553.72","1,725.55","1,775.76","1,671.95","1,753.29",99.2 ,111.4,0.767,3.1,,2018年7月,,,,,,,,,,
2018年6月,"22,126.25","23,011.57","22,038.40","22,304.51","1,742.65","1,802.94","1,711.75","1,730.89",99.2 ,110.64,0.61,2.9,,2018年6月,,,,,,,,,,
2018年5月,"22,453.42","23,050.39","21,931.65","22,201.82","1,774.36","1,819.74","1,731.28","1,747.45",99.3 ,108.77,0.673,2.7,,2018年5月,,,,,,,,,,
2018年4月,"21,441.57","22,495.56","21,056.02","22,467.87","1,716.32","1,780.38","1,687.00","1,777.23",99.1 ,109.4,0.635,2.2,,2018年4月,,,,,,,,,,
2018年3月,"21,901.13","21,971.16","20,347.49","21,454.30","1,754.43","1,754.53","1,645.16","1,716.30",99.2 ,106.19,0.6,2,,2018年3月,,,,,,,,,,
2018年2月,"23,276.10","23,492.77","20,950.15","22,068.24","1,849.53","1,870.94","1,691.65","1,768.24",99.5 ,107.08,0.692,2.5,,2018年2月,,,,,,,,,,
2018年1月,"23,073.73","24,129.34","23,065.20","23,098.29","1,841.20","1,911.31","1,836.68","1,836.71",99.5 ,108.7,0.725,2.7,,2018年1月,,,,,,,,,,
2017年12月,"22,916.93","22,994.33","22,119.21","22,764.94","1,804.80","1,833.28","1,761.18","1,817.56",99.4 ,112.65,0.751,3,,2017年12月,,,,,,,,,,
2017年11月,"22,144.92","23,382.15","21,972.34","22,724.96","1,775.99","1,844.05","1,737.72","1,792.08",99.1 ,112.29,0.756,3.5,,2017年11月,,,,,,,,,,
2017年10月,"20,400.51","22,086.88","20,363.28","22,011.61","1,677.77","1,772.59","1,671.05","1,765.96",98.8 ,113.09,0.716,3.5,,2017年10月,,,,,,,,,,
2017年9月,"19,733.57","20,481.27","19,239.52","20,356.28","1,624.37","1,679.83","1,578.66","1,674.75",98.8 ,112.46,0.663,3,,2017年9月,,,,,,,,,,
2017年8月,"19,907.08","20,113.73","19,280.02","19,646.24","1,619.13","1,642.34","1,589.05","1,617.41",98.5 ,110.49,0.728,2.8,,2017年8月,,,,,,,,,,
2017年7月,"20,056.32","20,200.88","19,856.65","19,925.18","1,613.65","1,636.53","1,602.47","1,618.61",98.3 ,110.63,0.705,2.5,,2017年7月,,,,,,,,,,
2017年6月,"19,692.16","20,318.11","19,686.32","20,033.43","1,570.47","1,627.54","1,570.24","1,611.90",98.5 ,112.06,0.642,2.2,,2017年6月,,,,,,,,,,
2017年5月,"19,154.03","19,998.49","19,144.62","19,650.57","1,531.45","1,590.70","1,530.31","1,568.37",98.6 ,110.96,0.719,2.1,,2017年5月,,,,,,,,,,
2017年4月,"18,988.00","19,289.43","18,224.68","19,196.74","1,518.90","1,538.89","1,452.15","1,531.80",98.5 ,111.29,0.716,2.1,,2017年4月,,,,,,,,,,
2017年3月,"19,226.94","19,668.01","18,909.26","18,909.26","1,543.11","1,578.51","1,512.60","1,512.60",98.1 ,111.8,0.662,1.4,,2017年3月,,,,,,,,,,
2017年2月,"18,926.97","19,519.44","18,805.32","19,118.99","1,511.26","1,559.51","1,507.08","1,535.32",98.1 ,112.31,0.752,1,,2017年2月,,,,,,,,,,
2017年1月,"19,298.68","19,615.40","18,650.33","19,041.34","1,533.04","1,558.45","1,495.03","1,521.67",98.2 ,113.53,0.7,0.5,,2017年1月,,,,,,,,,,
2016年12月,"18,535.24","19,592.90","18,227.39","19,114.37","1,486.08","1,558.75","1,462.07","1,518.61",98.4 ,117.11,0.731,-1.2,,2016年12月,,,,,,,,,,
2016年11月,"17,380.54","18,482.94","16,111.81","18,308.48","1,391.97","1,473.02","1,287.39","1,469.43",98.6 ,112.73,0.779,-2.3,,2016年11月,,,,,,,,,,
2016年10月,"16,566.03","17,461.03","16,554.83","17,425.02","1,332.14","1,393.44","1,329.06","1,393.02",98.6 ,104.92,0.761,-2.7,,2016年10月,,,,,,,,,,
2016年9月,"16,885.16","17,156.36","16,285.41","16,449.84","1,330.77","1,357.41","1,296.39","1,322.78",98.0 ,100.9,0.703,-3.3,,2016年9月,,,,,,,,,,
2016年8月,"16,415.31","16,943.67","15,921.04","16,887.40","1,308.30","1,331.00","1,262.86","1,329.54",97.9 ,103.28,0.736,-3.8,,2016年8月,,,,,,,,,,
2016年7月,"15,698.02","16,938.96","15,106.52","16,569.27","1,254.87","1,347.24","1,209.88","1,322.74",97.9 ,103.63,0.751,-4.2,,2016年7月,,,,,,,,,,
2016年6月,"17,097.22","17,145.95","14,864.01","15,575.92","1,369.96","1,374.37","1,192.80","1,245.82",98.1 ,102.7,0.678,-4.5,,2016年6月,,,,,,,,,,
